scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc4_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.74915e-06,0.366981,0.569441,0.5575772349999999,0.00335561,0.549079,0.00262005,0.001155456,0.001796557,0.001367119,3,2,5,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_exp_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.71539e-06,0.3070982,0.66250745,0.6642336089499999,0.003518717,0.65506728,0.002542933,0.001328923,0.0020786695,0.00177575595,3,2,5,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.43673e-06,0.391246,0.5563640000000001,0.5593813589999999,0.00346439,0.55061,0.00277145,0.001186195,0.001788708,0.0013493239999999,3,1,1,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_rs_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.79271e-06,0.310028,0.66468641,0.6669730209799999,0.0035330509999999,0.65777047,0.002555118,0.001333571,0.0020845616,0.00178081098,3,1,1,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.89612e-06,0.371123,0.569842,0.558391827,0.00337105,0.549851,0.00264198,0.001160976,0.001803312,0.001366821,3,1,2,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_rs_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.7112e-06,0.3047448,0.6575223600000001,0.65956723707,0.003491868,0.65047634,0.002515985,0.001320692,0.0020641901,0.00176235207,3,1,2,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.02711e-06,0.384168,0.590716,0.578221236,0.00348941,0.569395,0.0027287,0.001196259,0.001868245,0.001411867,3,1,3,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_rs_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.7504e-06,0.309537,0.66486443,0.6667982699899998,0.003532853,0.65759418,0.002556418,0.00133336,0.0020864357,0.0017814589899999,3,1,3,2,2,4,4,6,2,5,3,5,0
ssp_ag4_soc4_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.763489999999999e-06,0.36384,0.561435,0.5514507850000001,0.00331497,0.5430560000000001,0.00258706,0.001144079,0.001779868,0.001348676,3,1,4,1,2,4,4,0,5,2,3,5,0
ssp_ag4_soc4_gwhi_rs_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,5.76973e-06,0.3081223,0.65900747,0.66210444963,0.003506282,0.65296458,0.002542842,0.001323932,0.0020708094,0.00176681363,3,1,4,2,2,4,4,6,2,5,3,5,0
