scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.9765300000000003,66.7008,143.5417,77.3933,62.42746,1.138098,40.6619,15.43368,3.57901,1.614772,2,1,2,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.25013,61.9477,124.7701,63.4735,50.613149,1.063897,31.1293,14.05551,3.02985,1.334592,2,1,3,1,1,1,3,6,7,3,6,7,7
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.925485,67.16120000000001,143.7631,78.2983,62.769614999999995,1.134401,40.8489,15.57122,3.6003800000000004,1.6147140000000002,2,1,3,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.3174,62.11660000000001,120.1059,61.3353,49.111622,1.059896,30.2064,13.4507,3.05006,1.344566,2,1,4,1,1,1,3,6,7,3,6,7,7
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.975261,67.5529,142.6728,78.1107,62.54066400000001,1.130248,40.8423,15.370910000000002,3.5786800000000003,1.618526,2,1,4,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.18563,60.1636,115.7883,59.6125,47.846055,1.047482,29.2765,13.20849,2.99868,1.3149030000000002,2,1,5,1,1,1,3,6,7,3,0,7,7
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.903623,66.2949,140.2711,76.4554,61.88145399999999,1.130255,40.2392,15.3074,3.59016,1.614439,2,1,5,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.31918,55.5089,116.8579,46.8651,44.466260999999996,0.8685620000000001,27.1871,12.60804,2.47698,1.3255789999999998,3,2,1,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.0549980000000003,60.4955,123.2931,58.6171,51.145227,0.880714,32.42861,13.27127,2.839024,1.725609,3,2,1,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.39316,56.328100000000006,118.226,47.7853,45.226691,0.883266,27.5943,12.87627,2.52751,1.345345,3,2,2,1,1,2,3,0,5,3,0,3,7
