scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio4_ag4_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.64264e-06,0.364262,0.561742,0.551660591,0.00332358,0.54324,0.00260428,0.00114548,0.001774517,0.001347251,3,1,5,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.983430000000001e-06,0.376972,0.5846100000000001,0.572231585,0.00344469,0.563517,0.0026863,0.00118279,0.001839022,0.001400805,1,2,1,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.89806e-06,0.370692,0.572191,0.5604198410000001,0.00337973,0.551862,0.00264618,0.001164104,0.001810527,0.001367827,1,2,2,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.019989999999999e-06,0.382281,0.590649,0.5776115890000001,0.00348906,0.568787,0.00272694,0.001196768,0.001867841,0.001411821,1,2,3,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.741660000000001e-06,0.364091,0.5660160000000001,0.555238068,0.0033196,0.546821,0.00259584,0.001146028,0.001788842,0.0013556,1,2,4,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.72563e-06,0.3665719999999999,0.571588,0.5594599849999999,0.00336045,0.550952,0.00262175,0.001156138,0.001801542,0.001369647,1,2,5,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.03549e-06,0.3790969999999999,0.5844600000000001,0.574050759,0.00344302,0.565339,0.00268549,0.001182725,0.001837305,0.001400524,1,1,1,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.92279e-06,0.37258,0.572066,0.5619035979999999,0.00337839,0.553348,0.00264586,0.001163673,0.0018083379999999,0.001367675,1,1,2,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.09358e-06,0.389408,0.5695680000000001,0.5609271529999998,0.00347752,0.5521689999999999,0.0027206999999999,0.00118632,0.001825591,0.001373613,1,1,3,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.933510000000002e-06,0.370199,0.566632,0.5585332239999999,0.00334222,0.5500499999999999,0.00262144,0.001155949,0.001791452,0.001363615,1,1,4,1,1,4,4,0,5
ssp_socio4_ag4_gwlo_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.762770000000001e-06,0.367314,0.5718380000000001,0.560738,0.00336043,0.552232,0.00261957,0.001156326,0.001799745,0.001369674,1,1,5,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.960369999999999e-06,0.376954,0.5849,0.5720536370000001,0.00344659,0.5633360000000001,0.00268707,0.001183128,0.001840738,0.001400849,2,2,1,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.887710000000001e-06,0.370174,0.572071,0.560184816,0.00337925,0.551628,0.00264587,0.00116369,0.001811364,0.001368006,2,2,2,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.99376e-06,0.3822910000000001,0.5906939999999999,0.5775241399999999,0.00348987,0.5686979999999999,0.00272758,0.001196757,0.001868986,0.001411933,2,2,3,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.69723e-06,0.363721,0.566032,0.554032557,0.00331843,0.545619,0.00259338,0.001146131,0.001788532,0.001355616,2,2,4,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.67615e-06,0.366093,0.572028,0.5593047739999999,0.00336,0.5508,0.00261879,0.001156309,0.001802674,0.001369675,2,2,5,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.90054e-06,0.380412,0.585966,0.5739742069999997,0.00345612,0.565228,0.00269952,0.001186304,0.001842737,0.0014042629999999,2,1,1,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.904630000000001e-06,0.371784,0.571966,0.560323248,0.00337684,0.55177,0.00264553,0.001163131,0.001808849,0.001367747,2,1,2,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.422969999999999e-06,0.361081,0.57282,0.5542289289999999,0.00331553,0.545724,0.00266245,0.001158311,0.001813604,0.001368638,2,1,3,1,1,4,4,0,5
ssp_socio4_ag4_gwmed_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.77375e-06,0.36516,0.547567,0.5417669679999999,0.00327922,0.5334399999999999,0.00259393,0.001136502,0.001741868,0.001317316,2,1,4,1,1,4,4,0,5
