scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.69124,20.91939,6.25361,16.94649,15.810134000000001,1.6163340000000002,8.87469,3.5136300000000005,1.048123,0.7573570000000001,1,2,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.729079,20.84673,5.1678,16.63244,15.453038999999997,1.582239,8.719719999999999,3.38256,1.038694,0.729826,1,2,4,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.632400000000001,19.09092,4.53015,13.37358,13.796928,1.710919,7.562869999999999,3.17682,0.80693,0.539389,1,2,5,1,1,2,3,1,3,2,3,1,4,1
ssp_socio3_ag2_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.708995,20.75604,5.91516,16.72596,15.69402,1.603685,8.83018,3.46917,1.041317,0.749668,1,2,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.751947,20.80742,4.65878,16.52168,15.263797000000002,1.567954,8.64605,3.3086900000000004,1.027476,0.713627,1,1,1,2,1,2,3,5,7,2,2,1,4,1
ssp_socio3_ag2_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.802281,21.13525,6.2568,17.05919,16.090722,1.608307,9.18393,3.50127,1.038739,0.7584759999999999,1,1,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.746435,20.87867,5.30546,16.74606,15.606141000000001,1.586561,8.85593,3.39625,1.03453,0.73287,1,1,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.758219,20.70811,5.26722,16.55699,15.586746999999999,1.5806790000000002,8.86282,3.381,1.02986,0.732388,1,1,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.665673,20.81196,5.52606,16.687620000000003,15.456572999999999,1.599657,8.66986,3.40965,1.040403,0.7370030000000001,2,2,1,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.722977,21.00723,6.286670000000001,17.005129999999998,15.900544999999996,1.622568,8.947669999999997,3.51821,1.050967,0.76113,2,2,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.683863,20.91944,6.25819,16.96687,15.734881999999997,1.620999,8.785919999999999,3.51945,1.050429,0.758084,2,2,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.682419,20.807540000000003,5.1895,16.661179999999998,15.421922000000002,1.58851,8.673010000000001,3.38737,1.042602,0.73043,2,2,4,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5843300000000005,19.06739,4.54044,13.37734,13.752048,1.718023,7.51024,3.1753,0.808756,0.539729,2,2,5,1,1,2,3,1,3,2,3,1,4,1
ssp_socio3_ag2_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.693792,20.78819,6.18705,16.83033,15.709952999999999,1.613278,8.781179999999999,3.51134,1.046627,0.757528,2,2,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.661908,20.76969,4.75495,16.579929999999997,15.246969000000002,1.574054,8.5973,3.32689,1.032397,0.7163280000000001,2,1,1,2,1,2,3,5,7,2,2,1,4,1
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.728305,21.07599,6.28314,17.08427,16.041674,1.613399,9.11513,3.51101,1.0430549999999998,0.75908,2,1,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.676028,20.85139,5.322419999999998,16.77244,15.570632,1.589113,8.80719,3.40424,1.03693,0.733159,2,1,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.66936,20.6478,5.27873,16.58185,15.525932,1.5854549999999998,8.78483,3.3890300000000004,1.033918,0.732699,2,1,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.9131,19.45358,2.35702,15.49749,14.057179000000001,1.901792,7.4098000000000015,3.50054,0.7966449999999999,0.448402,3,2,1,1,1,5,3,5,7,5,3,1,1,1
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12855,22.01363,5.9087,20.25438,17.845964,1.897234,9.84312,4.25516,1.144958,0.705492,3,2,1,2,1,5,3,5,5,4,2,1,4,1
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,4.14027,20.60309,5.1089400000000005,17.37201,16.22128,2.038522,8.76937,4.04639,0.8361069999999999,0.530891,3,2,2,1,1,5,3,5,7,2,2,1,4,1
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20752,22.34116,7.64094,20.969620000000003,18.851127,1.952171,10.49813,4.49152,1.160663,0.7486430000000001,3,2,2,2,1,5,3,5,5,7,2,1,4,1
