scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.5936,13.33299,4.8703400000000014,0.297539,31.684357000000002,2.91828,6.2246000000000015,14.14913,2.85811,4.834230000000001,0.7000069999999999,2,1,1,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.4299,15.28358,5.61509,0.466203,34.614469,2.643593,6.7710300000000005,14.955380000000002,3.5211300000000003,5.64095,1.082386,2,1,1,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.9655,13.40806,4.861459999999999,0.303678,31.960168000000003,2.94036,6.2940900000000015,14.26415,2.88523,4.86611,0.710228,2,1,2,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.5674,15.32129,5.61322,0.471074,34.814883,2.657802,6.841239999999999,15.01329,3.5427699999999995,5.6676400000000005,1.092141,2,1,2,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.2183,12.88994,4.784,0.295333,30.932256,2.83483,6.16983,13.78214,2.75927,4.71727,0.6689160000000001,2,1,3,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.74010000000001,14.87594,5.57797,0.465217,33.974107999999994,2.575386,6.745989999999999,14.60664,3.4267300000000005,5.57187,1.047492,2,1,3,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.8633,15.16756,5.62186,0.467113,34.623540000000006,2.615545,6.73105,15.10442,3.4861500000000003,5.60744,1.078935,2,1,4,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.221,13.09016,4.8701300000000005,0.300148,31.826389,2.90181,6.40299,14.15267,2.82163,4.85729,0.689999,2,1,5,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.1888,14.8921,5.570130000000001,0.470398,34.289865000000006,2.6062220000000003,6.91225,14.61797,3.4680699999999995,5.623469999999998,1.061883,2,1,5,2,2,4,3,3,5,1,4,4,2,6
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.5552,12.97803,4.83895,0.788938,29.200094,2.020786,1.774798,10.88122,4.39839,6.84087,3.28403,3,2,1,2,1,1,3,6,0,0,5,4,2,6
